num_posts,num_c_with,num_c,indicator,date_num,date
41,35,300,0.8536585365853658,19331,2022-12-05
43,9,216,0.20930232558139536,19332,2022-12-06
39,14,301,0.358974358974359,19333,2022-12-07
26,30,226,1.1538461538461537,19334,2022-12-08
54,52,444,0.9629629629629629,19335,2022-12-09
19,13,221,0.6842105263157895,19336,2022-12-10
16,17,148,1.0625,19337,2022-12-11
57,81,422,1.4210526315789473,19338,2022-12-12
30,32,275,1.0666666666666667,19339,2022-12-13
33,30,248,0.9090909090909091,19340,2022-12-14
63,52,444,0.8253968253968254,19341,2022-12-15
70,90,510,1.2857142857142858,19342,2022-12-16
38,39,417,1.0263157894736843,19343,2022-12-17
8,6,103,0.75,19344,2022-12-18
33,28,296,0.8484848484848485,19345,2022-12-19
26,10,173,0.38461538461538464,19346,2022-12-20
31,14,303,0.45161290322580644,19347,2022-12-21
29,13,209,0.4482758620689655,19348,2022-12-22
25,10,156,0.4,19349,2022-12-23
11,3,78,0.2727272727272727,19350,2022-12-24
15,5,158,0.3333333333333333,19351,2022-12-25
11,7,180,0.6363636363636364,19352,2022-12-26
21,8,147,0.38095238095238093,19353,2022-12-27
32,14,215,0.4375,19354,2022-12-28
19,12,159,0.631578947368421,19355,2022-12-29
23,8,157,0.34782608695652173,19356,2022-12-30
15,2,93,0.13333333333333333,19357,2022-12-31
